Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;São Francisco Xavier;3;1;1;73;1200.0;520.0;0.0;16.44;Apartamento
Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0;12.5;Apartamento
Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0;31.76;Apartamento
Casa;Engenho Novo;2;0;0;70;1100.0;0.0;0.0;15.71;Casa
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;0.0;16.18;Apartamento
Apartamento;Humaitá;2;1;0;64;2500.0;520.0;0.0;39.06;Apartamento
Apartamento;Irajá;2;1;0;65;1100.0;255.0;0.0;16.92;Apartamento
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;0.0;15.71;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0;27.06;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0;21.0;Apartamento
Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0;31.25;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0;22.35;Apartamento
Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0;16.13;Apartamento
Apartamento;Grajaú;2;0;0;65;1400.0;415.0;21.0;21.54;Apartamento
Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0;27.5;Apartamento
Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;0.0;18.37;Apartamento
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0;41.54;Apartamento
Casa de Vila;Jacarepaguá;3;1;0;100;2000.0;100.0;0.0;20.0;Casa
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0;26.14;Apartamento
Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0;14.63;Apartamento
