Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Tijuca;3;1;0;81;1750.0;597.0;94.0
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1700.0;600.0;60.0
Apartamento;Vila Isabel;2;0;0;82;1700.0;350.0;
Apartamento;Jardim Guanabara;3;2;1;98;3400.0;754.0;227.0
Apartamento;Praça Seca;2;1;1;64;1100.0;440.0;
Apartamento;Tijuca;3;0;0;80;1600.0;660.0;98.0
Apartamento;Ipanema;2;0;0;75;3000.0;1600.0;150.0
Apartamento;Jabour;3;0;0;67;780.0;165.0;
Apartamento;Barra da Tijuca;2;1;1;77;2200.0;1236.0;141.0
Apartamento;Maracanã;2;0;0;67;1300.0;660.0;51.0
Apartamento;Centro;2;0;0;75;1500.0;935.0;73.0
Apartamento;Botafogo;2;1;0;90;2500.0;654.0;95.0
Apartamento;Ipanema;3;1;1;100;6500.0;250.0;211.0
Apartamento;Humaitá;1;1;0;60;2100.0;750.0;127.0
Apartamento;Leblon;1;0;0;90;7500.0;1400.0;
Apartamento;Tijuca;3;1;1;82;1800.0;1100.0;112.0
Apartamento;Tijuca;2;0;0;67;1400.0;480.0;48.0
Apartamento;Recreio dos Bandeirantes;3;1;2;75;1500.0;1095.0;153.0
Apartamento;Andaraí;2;1;1;80;1500.0;745.0;89.0
Apartamento;Recreio dos Bandeirantes;2;2;1;83;1500.0;740.0;186.0
Apartamento;Andaraí;2;0;0;60;1400.0;550.0;80.0
Apartamento;Maracanã;2;1;1;85;1999.0;980.0;90.0
Apartamento;Vila Valqueire;2;1;1;96;1200.0;315.0;
Apartamento;Barra da Tijuca;1;1;0;68;1650.0;900.0;180.0
Apartamento;Barra da Tijuca;2;1;1;70;1800.0;875.0;
Apartamento;Recreio dos Bandeirantes;2;1;1;78;1800.0;900.0;180.0
Apartamento;Tijuca;2;1;1;68;1550.0;600.0;
Casa;Braz de Pina;3;1;0;69;1600.0;;
Apartamento;Tijuca;3;2;1;85;2350.0;900.0;96.0
Apartamento;Recreio dos Bandeirantes;2;2;2;85;2500.0;1068.0;124.0
Apartamento;Cascadura;2;1;0;70;1300.0;170.0;
Apartamento;Freguesia (Jacarepaguá);2;1;0;60;1000.0;420.0;13.0
Apartamento;Barra da Tijuca;2;1;0;62;1100.0;680.0;99.0
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1790.0;780.0;
Apartamento;Barra da Tijuca;1;1;1;85;2300.0;1009.0;
Apartamento;Recreio dos Bandeirantes;3;1;1;82;2200.0;740.0;138.0
Apartamento;Recreio dos Bandeirantes;3;2;1;78;1650.0;500.0;
Apartamento;Taquara;2;1;0;75;700.0;622.0;
Apartamento;Leme;2;0;1;63;2400.0;927.0;
Apartamento;Ipanema;2;1;0;95;6500.0;2179.0;473.0
Apartamento;Campo Grande;2;1;0;60;900.0;200.0;
Apartamento;Barra da Tijuca;2;1;1;60;2800.0;900.0;1390.0
Apartamento;Barra da Tijuca;2;1;1;86;2200.0;1050.0;
Apartamento;Méier;3;0;0;60;1000.0;120.0;15.0
Apartamento;Barra da Tijuca;2;1;1;86;2900.0;1307.0;215.0
Apartamento;Botafogo;2;1;0;65;1900.0;600.0;102.0
Apartamento;Barra da Tijuca;3;2;1;78;6800.0;1700.0;350.0
Apartamento;Humaitá;2;1;1;90;3400.0;742.0;131.0
Apartamento;Barra da Tijuca;3;1;1;90;2850.0;850.0;130.0
Apartamento;Centro;3;1;0;95;2000.0;867.0;72.0
Apartamento;Copacabana;1;0;1;90;3400.0;1000.0;
Apartamento;Recreio dos Bandeirantes;2;1;1;72;2790.0;650.0;129.0
Apartamento;Freguesia (Jacarepaguá);2;1;1;60;1700.0;560.0;72.0
Apartamento;Grajaú;2;1;1;60;1100.0;750.0;96.0
Apartamento;Vicente de Carvalho;2;0;0;70;1000.0;;
Apartamento;Rio Comprido;2;1;0;73;1490.0;491.0;14.0
Apartamento;Tijuca;3;1;0;98;2200.0;630.0;
Apartamento;Vila Isabel;2;0;0;86;2000.0;468.0;19.0
Apartamento;Vila da Penha;2;0;0;60;1100.0;;15.0
Apartamento;Barra da Tijuca;2;1;1;89;3000.0;1590.0;255.0
Apartamento;Barra da Tijuca;2;2;1;93;2700.0;1304.0;179.0
Apartamento;Ipanema;3;1;0;80;4000.0;1200.0;251.0
Casa de Condomínio;Campo Grande;1;1;0;60;780.0;240.0;
Apartamento;Barra da Tijuca;2;1;1;70;3800.0;1200.0;
Apartamento;Tijuca;2;0;0;81;1800.0;665.0;86.0
Apartamento;Barra da Tijuca;1;1;0;70;2000.0;860.0;205.0
Apartamento;Barra da Tijuca;2;1;1;78;2500.0;1300.0;300.0
Apartamento;Copacabana;2;1;0;64;1800.0;697.0;
Casa de Condomínio;Campo Grande;2;1;0;70;1000.0;260.0;
Apartamento;Glória;2;2;0;78;2470.0;738.0;121.0
Apartamento;Barra da Tijuca;2;1;1;70;1700.0;560.0;77.0
Apartamento;Ipanema;2;1;0;78;3000.0;1050.0;280.0
Apartamento;Recreio dos Bandeirantes;3;1;1;69;1500.0;780.0;187.0
Casa de Vila;Campo Grande;2;0;0;100;850.0;;
Apartamento;Camorim;2;1;1;60;1400.0;510.0;
Apartamento;Laranjeiras;2;1;1;86;3000.0;870.0;160.0
